abajo,yvýpe,,
abalanzarse,añemombo hese,,
abanderado,poyvi guerahaha,,
abandonado,itaperéva,,
abandonar,motyre'ÿ,,
abanicar,jeipeju,,
abanico,pejuha,,
abaratar,hepyguejy,mboyvytuha,
abarca,sapatupe,hepy'o,
abarcar,poguy,,
abastecer,hupytyka,,
abastionar,mongora,,
abasto,ñemu mboesa'iha,hupytyka,
abatatar,motï,mbochuchu,mongyhyje
abatido,kangy,tindy,pepo'a
abatir,motindy,mokangy,
abdicar,kúi,jei,ñemboyke
abdomen,tye,tyeguy,
abecedario,achegety,,
abeja,káva,kavihu'i,kavytä
abejar,káva raity,,
abejarrón,mamanga,,
abejaruco,ypekü,guyra káva,
aberración,jejavy guasu,jepia,
aberrar,jejavy guasu,jejavyvusu,
abertura,juru,jeka,pe'a
abierto,ojei,ojepe'a,
abigarrado,mbatara,ipararáva,pititï
abigeato,mymba monda,,
abigeo,mymba mondaha,,
abintestato,potapaha'ÿre,techagihápe,
abismar,mbopypuku,jepy'amongeta,
abismo,yvykua pypuku,itakua hugua'ÿva,
ablandar,mohu'ü,mbyaruru,
ablución,johéi,ánga ñemopotï,
abobado,ijurujáiva,itavyraíva,
abobar,mbojurujái,mbohekotavy,mbotavyrai
abochornado,otïva,ovapytämbáva,
abochornar,motï,mbohovapytä,
abofeteador,oporohovapetéva,,
abofetear,hovapete,hovanupä,
abogado,mo'ähára,,
abogar,jerure mávare,ñe'ë máva rehehápe,
abolengo,ypykuéra poravopyréva,ñemoñarenguéra,
abolición,jeipe'a,ñembogue,
abolir,pe'a,mbogue,hejarei
abollado,pyko'ë,pygua,apeno
abolladura,pyko'ë,kandu,
abollar,mbopygua,moakandu,mopyko'ë
abombar,mboapysakuamboty,moakätavy,mboapysaryapu
abominar,cha'e'ÿ,py'aro,
abonar,yvymboavevo,hepyme'ë,momora
abono,yvymoporäha,yvymboavevoha,jehorä
aborigen,ypykue,,
aborrecer,hayhu'ÿ,hayhupe'a,hechase'ÿ
abortar,membykua,,
aborto,membykua,membykuare,
abrazar,añuä,añuvä,
abrevar,mboy'u,,
abreviar,mombykypyre,mbykypyre,
abridor,pe'aha,hekyiha,jaipe'aha
abrigar,jaho'i,ñuvä,
abrigo,aoaku,ahoja,
abrir,pe'a,,
abrochar,mboty,movotö,
abrojo,ñuatï'i,,
abroquelar,ñemo'ä,,
abrumar,momba'apo asy,mbojepy'apy,
absoluto,katuete,pu'akapavë,
absolver,jora,mbogue,
abstenerse,jejoko,,
abstinencia,japo'ÿ,jejoko,
absurdo,ñe'ërei,ha'e'ÿva,
abuela,jarýi,machu,
abuelo,taita,taitachu,tuvaru
abuenar,moñyrö,mbopochypoi,
abultado,kandu,chivu,
abundancia,teta,,
aburrido,kaigue,kuerái,
